published_timestamp,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year,months,day,quarter,profit,duration_categroy,price_Cat
2012-10-03 03:20:10+00:00,24877,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,True,80,1793,265,54,Beginner Level,10.0,2012-10-03 03:20:10+00:00,Business Finance,2012,October,Wednesday,4,143440,30+,55:100
2012-10-07 00:47:57+00:00,23861,Guitar - Rock - Beginner/Intermediate with Marc Seal,https://www.udemy.com/guitar-rock-beginner-intermediate-with-marc-seal/,True,20,36,4,40,Beginner Level,1.5,2012-10-07 00:47:57+00:00,Musical Instruments,2012,October,Sunday,4,720,3:7,20:50
2012-10-10 23:34:55+00:00,22445,Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/learn-to-design-a-letterhead/,False,0,24687,423,13,All Levels,0.7333333333333333,2012-10-10 23:34:55+00:00,Graphic Design,2012,October,Wednesday,4,0,0:3,Free
2012-10-13 23:40:19+00:00,26648,Play Guitar and Understand Music Quick & Easy in 28 Days!,https://www.udemy.com/how-to-play-guitar-really-understand-music/,True,20,738,6,64,All Levels,9.5,2012-10-13 23:40:19+00:00,Musical Instruments,2012,October,Saturday,4,14760,30+,20:50
2012-10-17 11:07:41+00:00,26845,Advanced HTML5 Tutorial for Web Developers,https://www.udemy.com/advanced-html5-for-web-developers/,True,50,11847,57,57,All Levels,7.5,2012-10-17 11:07:41+00:00,Web Development,2012,October,Wednesday,4,592350,30+,20:50
2012-10-21 20:36:50+00:00,26956,Learn Guitar in 21 Days,https://www.udemy.com/learn-guitar-in-21-days/,True,20,26504,192,82,Beginner Level,2.5,2012-10-21 20:36:50+00:00,Musical Instruments,2012,October,Sunday,4,530080,12:20,20:50
2012-10-24 09:54:08+00:00,25615,Login and Registration from Scratch with PHP and MySQL,https://www.udemy.com/authentication-from-scratch-with-php-and-mysql/,True,20,1128,77,36,Intermediate Level,2.0,2012-10-24 09:54:08+00:00,Web Development,2012,October,Wednesday,4,22560,7:12,20:50
2012-10-28 00:13:03+00:00,19332,The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,True,20,31070,742,195,Beginner Level,18.0,2012-10-28 00:13:03+00:00,Web Development,2012,October,Sunday,4,621400,30+,20:50
2012-10-31 01:05:18+00:00,24815,Harnessing the Power of Growth Stocks,https://www.udemy.com/harnessing-the-power-of-growth-stocks/,True,50,29,2,7,Intermediate Level,2.0,2012-10-31 01:05:18+00:00,Business Finance,2012,October,Wednesday,4,1450,7:12,20:50
2012-10-31 04:13:51+00:00,22825,Beginner Guitar Method,https://www.udemy.com/beginner-guitar/,True,200,85,2,23,Beginner Level,4.0,2012-10-31 04:13:51+00:00,Musical Instruments,2012,October,Wednesday,4,17000,20:30,155:200
2012-10-31 16:39:49+00:00,24334,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,True,20,25864,188,32,All Levels,5.0,2012-10-31 16:39:49+00:00,Web Development,2012,October,Wednesday,4,517280,20:30,20:50
2012-11-12 15:01:43+00:00,28172,Practical Trading on Financial Futures & Options Markets,https://www.udemy.com/getting-started-with-option-spreads/,True,50,43,0,25,Beginner Level,4.0,2012-11-12 15:01:43+00:00,Business Finance,2012,November,Monday,4,2150,20:30,20:50
2012-11-21 22:03:54+00:00,28556,Discover How to Draw and paint Comics,https://www.udemy.com/learn-to-draw-and-paint/,True,65,8901,424,85,All Levels,62.0,2012-11-21 22:03:54+00:00,Graphic Design,2012,November,Wednesday,4,578565,30+,55:100
2012-11-26 13:51:56+00:00,30318,Learning JavaScript Programming Tutorial. A Definitive Guide,https://www.udemy.com/programming-javascript/,True,50,17113,380,93,All Levels,9.5,2012-11-26 13:51:56+00:00,Web Development,2012,November,Monday,4,855650,30+,20:50
2012-11-26 20:00:40+00:00,30261,"Kids Coding -Introduction to HTML, CSS and JavaScript",https://www.udemy.com/kids-coding-introduction-to-html-css-and-javascript/,True,200,2355,143,215,Beginner Level,7.0,2012-11-26 20:00:40+00:00,Web Development,2012,November,Monday,4,471000,30+,155:200
2012-11-30 17:33:41+00:00,30911,HTML5 APIs For JavaScript - A Course For Web Developers ,https://www.udemy.com/html5-apis-for-javascript-a-course-for-web-developers/,True,50,7706,62,45,All Levels,5.0,2012-11-30 17:33:41+00:00,Web Development,2012,November,Friday,4,385300,20:30,20:50
